Age,NumSurvivors
0,100000
1,99593.984375
2,99564.6171875
3,99547.453125
4,99535.765625
5,99526.3046875
6,99517.1640625
7,99508.828125
8,99501.0703125
9,99493.8046875
10,99486.90625
11,99480.0078125
12,99472.375
13,99462.8203125
14,99449.9453125
15,99432.6796875
16,99410.421875
17,99383.1015625
18,99350.875
19,99314.1171875
20,99273
21,99227.15625
22,99176.1171875
23,99119.875
24,99058.515625
25,98991.984375
26,98920.2890625
27,98842.953125
28,98758.9375
29,98667.03125
30,98566.4375
31,98456.90625
32,98338.640625
33,98211.84375
34,98076.7109375
35,97933.1796875
36,97780.6875
37,97618.6796875
38,97446.96875
39,97265.4375
40,97073.7421875
41,96870.5234375
42,96654.6484375
43,96426
44,96184.5625
45,95929.46875
46,95658.2890625
47,95368.046875
48,95057.0859375
49,94724.890625
50,94371.171875
51,93995.5625
52,93595.9375
53,93168.671875
54,92708.984375
55,92212.796875
56,91679.8984375
57,91109.6171875
58,90497.234375
59,89837.4609375
60,89127.171875
61,88363.5
62,87547.6328125
63,86684.3125
64,85778.875
65,84832.5078125
66,83843.8359375
67,82800.3515625
68,81693.0546875
69,80508.8125
70,79235.3203125
71,77875.984375
72,76421.015625
73,74862.796875
74,73179.421875
75,71380.7890625
76,69376.984375
77,67214.03125
78,64873.6015625
79,62392.97265625
80,59748.265625
81,56949.98828125
82,54018.28515625
83,50925.296875
84,47680.98828125
85,44269.828125
86,40715.8671875
87,37095.20703125
88,33383.67578125
89,29634.51171875
90,25908.75
91,22272.728515625
92,18794.53125
93,15539.58984375
94,12565.825195312
95,9918.9296875
96,7628.489257812
97,5705.6328125
98,4142.69921875
99,2915.073242188
100,1984.916503906
