Age,NumSurvivors
0,100000
1,99562.4375
2,99527.40625
3,99505.125
4,99487.9453125
5,99474.9140625
6,99462.5390625
7,99451.34375
8,99441.0859375
9,99431.75
10,99423.203125
11,99414.890625
12,99405.5390625
13,99393.078125
14,99375.015625
15,99349.4453125
16,99315.4375
17,99272.828125
18,99221.421875
19,99161.28125
20,99092.3359375
21,99014.0078125
22,98925.8515625
23,98828.09375
24,98721.25
25,98605.671875
26,98481.578125
27,98348.6328125
28,98206.1015625
29,98053.078125
30,97889.0859375
31,97714.0234375
32,97528.3203125
33,97332.6640625
34,97127.8046875
35,96914.0703125
36,96691.0703125
37,96458.1953125
38,96215.15625
39,95961.625
40,95697.015625
41,95419.5703125
42,95127.9375
43,94822.078125
44,94502.15625
45,94167.15625
46,93814.1875
47,93439.2421875
48,93039.296875
49,92612.515625
50,92157.8203125
51,91674.9609375
52,91161.703125
53,90613.4609375
54,90024.1015625
55,89388.484375
56,88706.4453125
57,87977.734375
58,87197.46875
59,86360.421875
60,85464.0078125
61,84506.3203125
62,83489.6328125
63,82419.40625
64,81301.3203125
65,80136.8359375
66,78924.609375
67,77650.4296875
68,76309.8671875
69,74892.578125
70,73392.3984375
71,71814.359375
72,70150.5234375
73,68390.4921875
74,66512.3984375
75,64531.37109375
76,62347.6875
77,60028.78515625
78,57546.52734375
79,54947.75
80,52196.9140625
81,49337.60546875
82,46370.65625
83,43293.5390625
84,40116.97265625
85,36831.86328125
86,33507.69140625
87,30123.14453125
88,26725.421875
89,23367.35546875
90,20105.20703125
91,16995.70703125
92,14092.537109375
93,11442.544921875
94,9082.166992188
95,7034.545410156
96,5307.834960938
97,3895.036621094
98,2775.455566406
99,1917.586425781
100,1282.956665039
