Age,NumSurvivors
0,100000
1,98848.7734375
2,98775.7578125
3,98725.0234375
4,98684.0625
5,98651.546875
6,98621.359375
7,98591.9453125
8,98564.5703125
9,98542.1640625
10,98526.859375
11,98517.65625
12,98508.6953125
13,98488.65625
14,98442.921875
15,98360.2421875
16,98235.3671875
17,98069.765625
18,97867.0859375
19,97634.78125
20,97379.2578125
21,97101.2734375
22,96800.5546875
23,96481.9453125
24,96151.3125
25,95813.0703125
26,95469.4765625
27,95120.5234375
28,94765.3125
29,94401.828125
30,94028.3359375
31,93644.8359375
32,93251.46875
33,92846.3046875
34,92426.4765625
35,91989.046875
36,91531.015625
37,91050.765625
38,90548.6484375
39,90027.2109375
40,89488.640625
41,88931.8515625
42,88354.453125
43,87755.8515625
44,87134.71875
45,86488.421875
46,85813.46875
47,85105.59375
48,84360.3515625
49,83574.3828125
50,82745.5703125
51,81873.3984375
52,80955.3125
53,79985.953125
54,78958.3359375
55,77866.8515625
56,76713.40625
57,75498.28125
58,74212.6484375
59,72845.265625
60,71389.4765625
61,69845.7578125
62,68220.6640625
63,66519.296875
64,64745.796875
65,62901.640625
66,60982.5703125
67,58989.87890625
68,56940.41796875
69,54847.90625
70,52729.625
71,50607.640625
72,48448.21484375
73,46273.98046875
74,44092.4609375
75,41889.58984375
76,39630.8828125
77,37371.87890625
78,35036.9140625
79,32688.759765625
80,30315.71484375
81,27979.751953125
82,25654.595703125
83,23398.076171875
84,21144.548828125
85,18889.76953125
86,16700.955078125
87,14601.142578125
88,12612.19921875
89,10753.877929688
90,9042.892578125
91,7492.094238281
92,6109.822753906
93,4899.51171875
94,3859.596679688
95,2983.751953125
96,2261.449462891
97,1678.787841797
98,1219.510253906
99,866.106994629
100,600.889648438
