Age,NumSurvivors
0,100000
1,99532.4921875
2,99492.625
3,99465.5
4,99442.7890625
5,99426.265625
6,99410.796875
7,99396.890625
8,99384.2734375
9,99372.9765625
10,99362.84375
11,99353.109375
12,99342.015625
13,99326.6796875
14,99303.6171875
15,99270.140625
16,99225.0390625
17,99168.03125
18,99098.5859375
19,99016.4140625
20,98921.1875
21,98812.1328125
22,98688.7890625
23,98551.625
24,98401.5859375
25,98239.4140625
26,98065.546875
27,97879.78125
28,97681.6015625
29,97470.3203125
30,97245.6875
31,97007.703125
32,96757.078125
33,96495.0625
34,96223.09375
35,95942.03125
36,95651.6640625
37,95351.3125
38,95040.5703125
39,94718.8359375
40,94385.25
41,94037.6640625
42,93674.5390625
43,93295.9296875
44,92902.1484375
45,92492.046875
46,92062.2578125
47,91607.8046875
48,91124.4609375
49,90609.2578125
50,90060.484375
51,89478.0625
52,88859.6171875
53,88199.4765625
54,87489.921875
55,86724.5625
56,85903.125
57,85025.8125
58,84087.765625
59,83084.1328125
60,82013.125
61,80873.9375
62,79669.828125
63,78406.796875
64,77090.5234375
65,75722.4453125
66,74301.09375
67,72809.546875
68,71248.5
69,69610.6796875
70,67896.4296875
71,66113.3671875
72,64253.671875
73,62303.9453125
74,60243.2265625
75,58093.12109375
76,55743.55078125
77,53282.09765625
78,50669.8046875
79,47963.3125
80,45114.9140625
81,42199.625
82,39199.08984375
83,36136.265625
84,33021.3984375
85,29850.37109375
86,26717.216796875
87,23575.93359375
88,20479.240234375
89,17482.962890625
90,14642.806640625
91,12010.5625
92,9630.139648438
93,7533.953125
94,5740.226074219
95,4251.720703125
96,3056.190429688
97,2128.532958984
98,1434.303710938
99,933.961120605
100,587.103637695
