Age,NumSurvivors
0,100000
1,99256.515625
2,99163.421875
3,99109.0625
4,99075.28125
5,99042.4609375
6,99015.5
7,98991.5703125
8,98970.328125
9,98952.0625
10,98936.640625
11,98922.5390625
12,98906.0703125
13,98881.09375
14,98839.9921875
15,98776.5703125
16,98687.328125
17,98571.2265625
18,98427.390625
19,98256.046875
20,98057.09375
21,97828.6640625
22,97568.7421875
23,97277.6015625
24,96956.6640625
25,96607.1875
26,96230.625
27,95826.1796875
28,95390.5859375
29,94919.109375
30,94408.375
31,93858.8671875
32,93272.3671875
33,92647.71875
34,91982.6484375
35,91275.2578125
36,90518.078125
37,89711.5390625
38,88871.9609375
39,88024.296875
40,87185.265625
41,86364.8984375
42,85552.4296875
43,84718.40625
44,83820.625
45,82828.2578125
46,81724.875
47,80521.8828125
48,79250.4765625
49,77957.5859375
50,76675.0078125
51,75413.671875
52,74159.4609375
53,72889.015625
54,71571.1875
55,70188.0390625
56,68743.3203125
57,67251.4140625
58,65719.9296875
59,64157.55859375
60,62571.67578125
61,60962.31640625
62,59333.515625
63,57698.796875
64,56073.3671875
65,54466
66,52881.61328125
67,51313.5234375
68,49744.08203125
69,48149.18359375
70,46512.8671875
71,44831.06640625
72,43110.21484375
73,41357.2421875
74,39579.84375
75,37780.296875
76,35949.703125
77,34078.890625
78,32173.322265625
79,30253.494140625
80,28343.060546875
81,26460.419921875
82,24604.93359375
83,22773.537109375
84,20965.798828125
85,19186.4921875
86,17470.326171875
87,15795.958984375
88,14175.47265625
89,12620.52734375
90,11142.013671875
91,9749.70703125
92,8451.930664062
93,7255.262695312
94,6164.297851562
95,5181.487304688
96,4307.076660156
97,3539.142578125
98,2873.738769531
99,2305.13671875
100,1826.147827148
